Type,ID,Description
Word,w1,Anxiety
Word,w2,Race
Word,w3,Men
Word,w4,Discomfort
Word,w5,Sensitivity
Word,w6,Thermography
Word,w7,Benefits
Word,w8,Bias
Word,w9,Harms
Word,w10,Overdiagnosis
Word,w11,Ultrasonography
Word,w12,Background
Word,w13,Analysis: Follow-up
Word,w14,Special Populations
Word,w15,Elderly women
Word,w16,Breast Self-examination
Word,w17,Contamination: None
Word,w18,Interval cancers
Word,w19,Facility Characteristics
Word,w20,Radiation Exposure
Word,w21,Analysis: Evaluation
Word,w22,International Comparisons
Word,w23,Tumor Characteristics
Word,w24,Young women
Word,w25,Patient Characteristics
Word,w26,Physician Characteristics
Word,w27,Digital Mammography
Phrase,p1,Mammography and CAD
Phrase,p2,Magnetic Resonance Imaging
Phrase,p3,Compliance: 89% participation
Phrase,p4,Control: Usual care
Phrase,p5,External audit: None
Phrase,p6,Screening With Mammography
Phrase,p7,Compliance: 61% screened
Phrase,p8,Compliance: 89% screened
Phrase,p9,Randomized controlled trials
Phrase,p10,Compliance: 82% screened
Phrase,p11,Consistency : Fair
Phrase,p12,Summary of RCTs
Phrase,p13,Dense breast tissue
Phrase,p14,External audit: No
Phrase,p15,Prior radiation therapy
Phrase,p16,Clinical Breast Examination
Phrase,p17,Benefit of Mammography
Phrase,p18,BCSC Web site
Phrase,p19,Control: Annual CBE
Phrase,p20,Exclusions: Inconsistently reported
Phrase,p21,External audit: Yes
Phrase,p22,Mammography—Variables Associated with Accuracy
Phrase,p23,Follow-up duration: 12 years
Phrase,p24,External Validity : Poor
Phrase,p25,Follow-up duration: 8 years
Phrase,p26,Breast Cancer Screening Modalities—Mammography
Phrase,p27,Consistency of reports: Good
Phrase,p28,Ductal Carcinoma In Situ
Phrase,p29,Consistency of reports: Variable
Phrase,p30,Current Age (in Years)
Phrase,p31,Follow-up duration: 18 years
Phrase,p32,Evaluation of Breast Symptoms
Phrase,p33,Breast Cancer (PDQ®): Screening
Phrase,p34,Breast Cancer Surveillance Consortium
Phrase,p35,Specificity and false-positive rate
Phrase,p36,Description of the Evidence
Phrase,p37,Breast Cancer Screening Concepts
Phrase,p38,Internal Validity : Good
Phrase,p39,Follow-up duration: 10 years
Phrase,p40,Mammography Description and Background
Phrase,p41,Follow-up duration: 13 years
Phrase,p42,Harms of Screening Mammography
Phrase,p43,Follow-up duration: 10.7 years
Phrase,p44,Personal history of breast cancer
Phrase,p45,Comments: Randomization process was flawed
Phrase,p46,Breast cancer incidence and mortality
Phrase,p47,Seventeen studies met inclusion criteria
Phrase,p48,Appendix of Randomized Controlled Trials
Phrase,p49,"Exclusions: Few, balanced between groups"
Phrase,p50,Effectiveness of Population-Based Screening Programs
Phrase,p51,Randomization: Individual volunteer (see NBSS-1)
Phrase,p52,Breast Cancer Screening Modalities—Beyond Mammography
Phrase,p53,Follow-up duration: 12 to14 years
Phrase,p54,Women with limited life expectancy
Phrase,p55,Study design : Descriptive population-based
Phrase,p56,Adapted from Altekruse et al
Phrase,p57,Breast Cancer Diagnosis and Pathology
Phrase,p58,Assessment of Performance and Accuracy
Phrase,p59,Risk Factors for Breast Cancer
Phrase,p60,Risk in Next 10 Years
Phrase,p61,Study Design : Two RCTs
Phrase,p62,Pathologic Diagnosis of Breast Cancer
